Title,Description,URL
فروش بهترین برندهای ماشین‌های اداری + خدمات جامع تعمیرات ماشین‌های اداری,فروش بهترین برندهای ماشین‌های اداری + خدمات جامع تعمیرات ماشین‌های اداری فروش بهترین برندهای ماشین‌های اداری خدمات جامع تعمیرات ماشین‌های اداری اگر به دنبال خرید انواع ماشین‌های اداری از بهترین برندها و با مقرون‌به‌صرفه‌ترین قیمت (قیمت همکاری) هستید، نوین سیستم داتیس پاسارگاد همراه شما است. همچنین می‌توانید تعمیر دستگاه‌ها خود را به تیم فنی باسابقهٔ ما بسپارید. سرویس فروش داتیس شامل تجهیزات زیر از برندهای سرشناسی مثل اچ‌پی، اپسون، کانن، برادر، توشیبا، شارپ و… است: پرینتر دستگاه کپی اسکنر فکس بارکدخوان کاغذ خردکن ویدئو پروژکتور برای سرویس و تعمیر انواع ماشین‌های اداری (فارغ از برند و مدل آن) روی تکنسین‌های مرکز تعمیرات داتیس حساب و با بهره‌مندی از سرویس تعمیر در محل، پیک رایگان و ضمانت تعمیرات، این خدمات را دریافت کنید: تست ماشین‌های اداری جنرال سرویس انواع دستگاه‌ها شارژ کارتریج تعمیرات بارکدخوان اصلاح رنگ پرینتر و دستگاه کپی تعمیر مین‌برد انواع ماشین اداری و… برای کسب اطلاعات بیشتر و دریافت مشاوره، راه‌های ارتباطی ما در دسترس شما است: وب‌سایت:<URL> تلفن‌ تماس (ساعت پاسخگویی 9 تا 17): <PHONE> و <PHONE> آدرس: تهران، عباس آباد، اندیشه، خیابان شهید خلیل حسینی، کوچه فرهاد، پلاک 1، واحد 2,https://www.jooyeshgar.com/product/det-499804
فروش انواع کارتریج پرینتر,فروش انواع کارتریج پرینتر داتیس نمایندگی فروش، سرویس و تعمیر انواع ماشین های اداری نوین سیستم داتیس پاسارگاد در زمینه فروش، خدمات پس از فروش و تعمیر تجهیزات اداری، آماده خدمات رسانی به افراد، کسب وکارها و مجموعه های مختلف است. سرویس فروش ماشین های اداری شامل این موارد است: ● انواع پرینتر جوهرافشان، لیزری، حرارتی تک رنگ، رنگی، تک کاره و چندکاره (برندهای: Brother - Epson - Canon - HP - SAMSUNG - PANASONIC - SNB - MEVA - GODEX - REMO - BIXOLON و…) ● انواع دستگاه کپی سیاه و سفید و رنگی (برندهای: SHARP - TOSHIBA - BROTHER - EPSON - CANON و…) ● دستگاه فکس (برندهای PANASONIC - SHARP - BROTHER - CANON و…) ● فروش انواع اسکنر تخت و بایگانی (برندهای: HP - Fujitsu - BROTHER - CANON - KODAK و…) ● انواع کاغذ خردکن اداری و صنعتی (برندهای: Protech - King - Remo - Nikita - IMax و…) ● انواع بارکدخوان قلمی و لیزری (برندهای: Datalogic - NIKITA - AXIOM - OSCAR - REMO و…) ● انواع ویدئو پروژکتور (برندهای: Xiaomi - Epson - Optoma - Bresser - Panasonic - Sony - BenQ و…) در زمینه سرویس و تعمیرات ماشین های اداری نیز خدمات ما به این شرح است: ● جنرال سرویس و تعمیر پرینتر (تعویض کارتریج، اصلاح عیوب چاپ و رنگ، رفع مشکلات درام کیت، تعمیر مین برد و…) ● سرویس و تعمیر دستگاه کپی (تنظیم رنگ، تعمیر پنل، تعمیر برد پاور و…) ● سرویس و تعمیر فکس (تعمیر و تعویض دکمه ها، گوشی، صفحه نمایش، رفع خطاها، تعمیر یونیت اسکنر و…) ● سرویس و تعمیر اسکنر (تعمیر بخش تغذیه، عیب یابی پورت های اینترفیس، تعویض لامپ، اصلاح مشکلات موتور و…) ● تعمیر انواع کاغذخردکن (تعمیر و ساخت چرخ دنده ، تعمیر و ساخت برد کنترل، سیم پیچی موتور و…) ● تعمیر و سرویس بارکدخوان (تعمیر و تعویض شاسی، تعویض سیم رابط، اصلاح تنظیمات نرم افزاری و…) ● تعمیر و سرویس ویدئو پروژکتور (تعمیر لیزر، اصلاح رنگ، تعمیر تراشه DMD، رفع عیوب اپتیک، تعمیر کنترل و…) آدرس: تهران، عباس آباد، اندیشه، خیابان شهید خلیل حسینی، کوچه فرهاد، پلاک 1، طبقه 3، واحد 5 شرکت نوین سیستم داتیس پاسارگاد انواع کارتریج پرینتر HP را با ضمانت اصالت و کیفیت عرضه می کند. مدل های موجود عبارت اند از: کارتریج HP05A (سازگار با مدل های (HP2055-HP2025-HP2055 کارتریج HP12A (سازگار با مدل های HP1012، 1020، 3030، 1022 ، 1120، 3050، 3020، 1018، 3052، HP1319، HP3050، HP1010) کارتریج HP26A (سازگار با مدل ها HP M402-HPM426) کارتریج HP37A (سازگار با مدل های HP607-HP608-HP609) برای کسب اطلاعات بیشتر، دریافت مشاوره و خرید می توانید از راه های زیر با ما در ارتباط باشید. تلفن: <PHONE> تلفن: <PHONE> *http://*<URL>,https://www.jooyeshgar.com/product/det-508962
فروش و تعمیرات ماشینهای اداری,فروش و تعمیرات ماشینهای اداری فروش انواع کارتریج پرینتر شرکت نوین سیستم داتیس پاسارگاد انواع کارتریج پرینتر HP را با ضمانت اصالت و کیفیت عرضه می کند. مدل های موجود عبارت اند از: کارتریج HP05A (سازگار با مدل های (HP2055-HP2025-HP2055 کارتریج HP12A (سازگار با مدل های HP1012، 1020، 3030، 1022 ، 1120، 3050، 3020، 1018، 3052، HP1319، HP3050، HP1010) کارتریج HP26A (سازگار با مدل ها HP M402-HPM426) کارتریج HP37A (سازگار با مدل های HP607-HP608-HP609) سرویس‌ فروش ماشین‌های اداری شامل این موارد است: ● انواع پرینتر جوهرافشان، لیزری، حرارتی تک‌رنگ، رنگی، تک‌کاره و چندکاره (برندهای: Brother - Epson - Canon - HP - SAMSUNG - PANASONIC - SNB - MEVA - GODEX - REMO - BIXOLON و…) ● انواع دستگاه کپی سیاه و سفید و رنگی (برندهای: SHARP - TOSHIBA - BROTHER - EPSON - CANON و…) ● دستگاه فکس (برندهای PANASONIC - SHARP - BROTHER - CANON و…) ● فروش انواع اسکنر تخت و بایگانی (برندهای: HP - Fujitsu - BROTHER - CANON - KODAK و…) ● انواع کاغذ خردکن اداری و صنعتی (برندهای: Protech - King - Remo - Nikita - IMax و…) ● انواع بارکدخوان قلمی و لیزری (برندهای: Datalogic - NIKITA - AXIOM - OSCAR - REMO و…) ● انواع ویدئو پروژکتور (برندهای: Xiaomi - Epson - Optoma - Bresser - Panasonic - Sony - BenQ و…) در زمینهٔ سرویس و تعمیرات ماشین‌های اداری نیز خدمات ما به این شرح است: ● جنرال سرویس و تعمیر پرینتر (تعویض کارتریج، اصلاح عیوب چاپ و رنگ، رفع مشکلات درام کیت، تعمیر مین‌برد و…) ● سرویس و تعمیر دستگاه کپی (تنظیم رنگ، تعمیر پنل، تعمیر برد پاور و…) ● سرویس و تعمیر فکس (تعمیر و تعویض دکمه‌ها، گوشی، صفحهٔ نمایش، رفع خطاها، تعمیر یونیت اسکنر و…) ● سرویس و تعمیر اسکنر (تعمیر بخش تغذیه، عیب‌یابی پورت‌های اینترفیس، تعویض لامپ، اصلاح مشکلات موتور و…) ● تعمیر انواع کاغذخردکن (تعمیر و ساخت چرخ‌دنده‌، تعمیر و ساخت برد کنترل، سیم‌پیچی موتور و…) ● تعمیر و سرویس بارکدخوان (تعمیر و تعویض شاسی، تعویض سیم رابط، اصلاح تنظیمات نرم‌افزاری و…) ● تعمیر و سرویس ویدئو پروژکتور (تعمیر لیزر، اصلاح رنگ، تعمیر تراشهٔ DMD، رفع عیوب اپتیک، تعمیر کنترل و…) **آدرس: تهران، عباس آباد، اندیشه، خیابان شهید خلیل حسینی، کوچه فرهاد، پلاک 1، طبقه 3، واحد 5 وب‌سایت:<URL> (جهت ثبت سفارش آنلاین) تلفن‌های تماس: (در پایین آگهی)و (در پایین آگهی) شمارهٔ همراه: (در پایین آگهی) **,https://www.jooyeshgar.com/product/det-499140
فروش انواع کارتریج پرینترهای HP (به صورت سری کامل و تکی),فروش انواع کارتریج پرینترهای HP (به صورت سری کامل و تکی) فروش انواع کارتریج پرینترهای HP (به صورت سری کامل و تکی) شرکت نوین سیستم داتیس پاسارگاد، انواع مختلفی از کارتریج‌های HP را به صورت سری کامل و تکی در رنگ‌های مختلف (مشکی، قرمز، آبی، زرد) عرضه می‌کند: ● سری کارتریج hp 410 a ● سری کارتریج hp 307 a ● سری کارتریج hp 201 a ● کارتریج hp 79 a ● کارتریج hp 80 a ● کارتریج hp 12 a ● کارتریج hp 35 a ● کارتریج hp 26 a ● کارتریج hp 05 a سرویس‌ فروش ماشین‌های اداری شامل این موارد است: ● انواع پرینتر جوهرافشان، لیزری، حرارتی تک‌رنگ، رنگی، تک‌کاره و چندکاره (برندهای: Brother - Epson - Canon - HP - SAMSUNG - PANASONIC - SNB - MEVA - GODEX - REMO - BIXOLON و…) ● انواع دستگاه کپی سیاه و سفید و رنگی (برندهای: SHARP - TOSHIBA - BROTHER - EPSON - CANON و…) ● دستگاه فکس (برندهای PANASONIC - SHARP - BROTHER - CANON و…) ● فروش انواع اسکنر تخت و بایگانی (برندهای: HP - Fujitsu - BROTHER - CANON - KODAK و…) ● انواع کاغذ خردکن اداری و صنعتی (برندهای: Protech - King - Remo - Nikita - IMax و…) ● انواع بارکدخوان قلمی و لیزری (برندهای: Datalogic - NIKITA - AXIOM - OSCAR - REMO و…) ● انواع ویدئو پروژکتور (برندهای: Xiaomi - Epson - Optoma - Bresser - Panasonic - Sony - BenQ و…) در زمینهٔ سرویس و تعمیرات ماشین‌های اداری نیز خدمات ما به این شرح است: ● جنرال سرویس و تعمیر پرینتر (تعویض کارتریج، اصلاح عیوب چاپ و رنگ، رفع مشکلات درام کیت، تعمیر مین‌برد و…) ● سرویس و تعمیر دستگاه کپی (تنظیم رنگ، تعمیر پنل، تعمیر برد پاور و…) ● سرویس و تعمیر فکس (تعمیر و تعویض دکمه‌ها، گوشی، صفحهٔ نمایش، رفع خطاها، تعمیر یونیت اسکنر و…) ● سرویس و تعمیر اسکنر (تعمیر بخش تغذیه، عیب‌یابی پورت‌های اینترفیس، تعویض لامپ، اصلاح مشکلات موتور و…) ● تعمیر انواع کاغذخردکن (تعمیر و ساخت چرخ‌دنده‌، تعمیر و ساخت برد کنترل، سیم‌پیچی موتور و…) ● تعمیر و سرویس بارکدخوان (تعمیر و تعویض شاسی، تعویض سیم رابط، اصلاح تنظیمات نرم‌افزاری و…) ● تعمیر و سرویس ویدئو پروژکتور (تعمیر لیزر، اصلاح رنگ، تعمیر تراشهٔ DMD، رفع عیوب اپتیک، تعمیر کنترل و…) آدرس: تهران، عباس آباد، اندیشه، خیابان شهید خلیل حسینی، کوچه فرهاد، پلاک 1، طبقه 3، واحد 5 وب‌سایت:[<URL> ](<URL>)(جهت ثبت سفارش آنلاین) تلفن‌های تماس: <PHONE> و <PHONE> شمارهٔ همراه: <PHONE>,https://www.jooyeshgar.com/product/det-499142
بارکد خوان تک بعدی و دو بعدی,بارکد خوان تک بعدی و دو بعدی بارکد خوان شامل یک اسکنر، یک رمزگشا (چه داخلی یا خارجی) و یک کابل است که برای اتصال خواننده با کامپیوتر استفاده می‌شود. از آنجایی که یک بارکدخوان صرفاً بارکد را به اعداد و یا حروف می‌گیرد و ترجمه می‌‌کند، داده‌ها باید به رایانه ارسال شوند تا یک برنامه نرم‌افزاری بتواند داده‌ها را معنا کند. اسکنر‌‌های بارکد را می‌توان از طریق یک پورت سریال، پورت صفحه کلید یا یک وسیله واسط به نام گوه به کامپیوتر متصل کرد. بارکدخوان با هدایت یک پرتو نور در سراسر بارکد و اندازه گیری مقدار نوری که به عقب بازتاب می‌شود کار می‌کند. اسکنر انرژی نور را به انرژی الکتریکی تبدیل می‌کند و سپس توسط رمزگشا به داده تبدیل کرده و به رایانه ارسال می‌کند. انواع بارکد خوان از نظر تکنولوژی بارکدخوان قلمی بارکد خوان‌های قلمی از یک منبع نور و دیود جهت خواندن و اسکن بارکد‌ها تشکیل شده است که همگی آنها در نوک قلم طراحی شده است. نوک قلم بر روی پهنای بارکد‌ها حرکت می‌کند. بارکدخوان لیزری بارکد خوان‌های لیزری به روش بارکدخوان‌های قلمی عمل می‌کنند و برای اسکن، یک پرتو بسیار نازک نور بر روی بارکد منتشر می‌کند. به صورت رفت و برگشت و چرخشی به سرتاسر بارکد‌ها به جلو و عقب حرکت می‌کند. بارکدخوان CCD یا نوری بارکد خوان‌های CCD یا همان نوری از یک منبع نور بسیار کوچک مانند لیزر برای اسکن بارکد‌ها بهره می‌برند. به طور کلی این بارکدخوان فقط بارکد‌های تک بعدی (1D) را می‌تواند بخواند و قابلیت بارکد‌های دوبعدی و سه بعدی را ندارد و بارکد‌ها را نسبت به مدل لیزری از مسافت‌های کمتری می‌خواند.,https://www.jooyeshgar.com/product/det-475056
پرینترهای چاپ کارت PVC,پرینترهای چاپ کارت PVC مجموعه رایان سیستم در حدود 20 سال فعالیت خود را در زمینه فروش تجهیزات بانکی و فروشگاهی آغاز نموده و تمرکز اصلی مجموعه ارائه راهکارهایی با کمترین هزینه و بالاترین کیفیت می باشد، با توجه به این هدف سعی کرده ایم بهترین برندها را به مشتریان خود معرفی نموده تا بتوانند یک خرید مطمئن را با ما تجربه کنند.همچنین تمامی کالاهای موجود در سایت به صورت اصل و اورجینال به فروش میرسند. ضمنا تعمیرات کلیه پرینترهای چاپ کارت PVC و فیش پرینتر ، لیبل پرینتر ، بارکد خوان و صندوق فروشگاهی توسط تیم تخصصی پذیرفته و پس از اعلام ایرادات و نواقص و تایید مشتری تعمیر میگردد. فروش انواع پرینتر چاپ کارت و ریبون PVC و سیستم‌های فروشگاهی (پرینتر بارکد، پرینترصدور فیش ، دستگاه نوبت دهی ، بارکد خوان و صندوق فروشگاهی ),https://www.jooyeshgar.com/product/det-474715
ریبون رنگی پرینتر چاپ کارت PVC,ریبون رنگی پرینتر چاپ کارت PVC فروش انواع ریبون پرینترهای چاپ کارت PVC نیسکا، هایتی ، زبرا، فارگو، سیات ،اسمارت ، اولیس، گلادیو، XID ، اسکرین چک ، پوینت من، هودو ، اصلی رنگی مشکی هالف پنل دوپنل ریبون نواری پلاستیکی است که یک روی آن بسته به نوع کارت پرینتر و چاپ پنل رنگی و یا مشکی قرار میگیرد .ریبون رنگی ریبون YMCKO ، دارای چهار رنگ اصلی زرد، قرمز، آبی و مشکی است و یک لایه پوشاننده نیز برای محافظت از چاپ انجام شده روی کارت چاپ می شود. ریبون های کارت پرینتر دیگری با مشخصات KO وجود دارد که فقط با رنگ مشکی با لایه محافظ میباشد.,https://www.jooyeshgar.com/product/det-474718
پرینتر سه بعدی رزینی Phrozen Sonic Mighty 8K,"پرینتر سه بعدی رزینی Phrozen Sonic Mighty 8K با پرینتر سه بعدی رزینی مایتی 8K می توانید قطعات بزرگ سایز را با دقت 28 میکرون دقیق تر و واضح تر چاپ کنید. جذابیت پرینتر رزینی Sonic Mighty 8K در این مهم خلاصه می شود که هر سه عامل دقت, رزولوشن و ابعاد چاپ در کنار هم بهینه شده است و کیفیت چاپ فوق العاده را به کاربران می دهد. محدودیت های از قبیل چاپ جزئیات, سطح صیقلی بدون خش و سایز چاپ کوچک را از بین برده است. برند: Phrozen تکنولوژی چاپ: LCD/SLA ابعاد دستگاه: 337 × 337 × 516 میلی متر وزن دستگاه: 14.3 کیلوگرم ابعاد پرینت: 218 × 123 × 235 میلی متر دقت پرینت: 10 تا 300 میکرون سرعت چاپ: 70 میلی متر بر ساعت نرم افزار اسلایسر: CHITUBOX V2.0 فرمت فایل های ورودی: STL - G code - OBJ جنس بدنه: تمام فلز نمایشگر: 5 اینچ، لمسی نحوه انتقال فایل: USB، Ethernet، Wi-Fi کشور سازنده: تایوان",https://www.jooyeshgar.com/product/det-506960
پرینتر سه بعدی ELEGOO Saturn 4 Ultra,"پرینتر سه بعدی ELEGOO Saturn 4 Ultra ELEGOO Saturn 4 Ultra کمپانی الگو پس از موفقیت خارق العاده Elegoo Saturn 3 Ultra در پی کسب سهم بیشتری از بازار مدل ELEGOO Saturn 4 Ultra را معرفی و روانه بازار کرده است , این پرینتر 3 بعدی رزینی با رزولوشن 12K و سرعت پرینتر 150 میلی متر بر ساعت با توجه به امکانات بسیار زیادی که دارد و همچنین دقت و سرعت پرینت خارق العاده‌اش انتظار می‌رود تا سکوی نخست فروش را از آن خود کند. سایز نمایشگر10 : اینچ - 12k ارتباط USBUSB 3.0 متریال مصرفی :رزین حداکثر حجم پرینت : 218.88122.88220 میلی متر سرعت پرینت 150 میلی متر بر ساعت منبع نوری COB Light Source Fresnel Collimating Lens",https://www.jooyeshgar.com/product/det-506992
پرینتر سه بعدی creality مدل K1,پرینتر سه بعدی creality مدل K1 برند: Creality تکنولوژی چاپ: FDM ابعاد چاپ: 220 × 220 × 250 میلی‌متر ابعاد دستگاه: 355 × 355 × 480 میلی‌متر ابعاد بسته‌بندی: 415 × 415 × 550 میلی‌متر وزن دستگاه: 12.5 کیلوگرم وزن بسته بندی: 16 کیلوگرم سرعت چاپ: 600 میلی‌متر در ثانیه دقت چاپ: 100 میکرون ضخامت لایه چاپ: 0.1-0.35 میلی‌متر نوع اکسترودر: دایرکت مستقیم قطر فیلامنت: 1.75 میلی متر قطر نازل: 0.4 میلی‌متر (سازگار با 0.6 / 0.8 میلی‌متر) حداکثر دمای نازل: 300 درجه سانتی‌گراد حداکثر دمای صفحه ساخت: 100 درجه سانتی‌گراد کالیبراسیون: خودکار بدون نیاز به دست انتقال فایل: USB، WiFi صفحه نمایش: لمسی رنگی 4.3 اینچی سنسور قطع برق: دارد سنسور اتمام فیلامنت: دارد نوع مواد مصرفی: انواع فیلامنت های موجود در بازار نرم‌افزار اسلایسر: Creality Print، Cura، Simplify3D، PrusaSlicer فرمت‌های فایل ورودی: STL، OBJ,https://www.jooyeshgar.com/product/det-506993
دیتالاگر دمای اتاق سرور,دیتالاگر دمای اتاق سرور یک سیستم نمایشگر و دیتالاگر دمای اتاق سرور به سیستمی گفته میشود که در شرایط حضور یا عدم حضور مدیر ای تی بتواند مشکلاتی از قبیل افزایش دما افزایش رطوبت نشت آب قطع برق افزایش دود وجود آتش ورود غیر مجاز و .................................... باطلاع مدیر رسانده و از اتاق سرور حفاظت کند اما ساخت یک سیستم دیتالاگر دمای اتاق سرور باید شامل چه استانداردهایی باشد که بتواند این وظیفه را بدرستی انجام دهد تا انتخاب هوشمندانه ای داشته باشیم و یک سیستم قابل قبولی در اتاق سرور از سخت افزار هایمان و دیتای موجود حفاظت کنند. در ادامه راجع به این موضوع اطلاعات بیشتری در اختیارتان میگذاریم چرا هوشمند سازی اتاق سرور توسط هر شرکتی قابل انجام نیست ? هوشمند سازی اتاق سرور امری است کاملا الزامی برای اتاق های سرور سازمانها و ادارات و مراکز دولتی و خصوصی اما این موضوع که آیا میتوان با هر شرکتی در این خصوص کار کرد و یا هر شرکتی میتواند این خدمات را به مجموعه ما ارایه کند جای بسیار بحث دارد چرا که هوشمند سازی اتاق سرور امری است مربوط به ایمنی و اطمینان کردن به هر شرکتی با هر نوع تخصص و یا تجربه بسیار پر ریسک است بنابر این برای انجام هوشمند سازی اتاق سرور یا نصب سیستمهای مانیتورینگ اتاق سرور لازم است شرکت سازنده و یا پبمانکار یک سری شرایط را احراز و یک مجموعه ویژ گیهای فنی داشته باشد تا در آینده مجموعه های استفاده کننده از خدمات فوق متضرر نشوند و آسیب نبینند این شرایط و ویژگیها در ادامه مطلب آورده میشود 1)شرکت فروشنده سامانه مانیتورینگ اتاق سرور و یا پیمانکار هوشمند سازی باید اساس نامه مرتبط با کنترل و ابزار دقیق داشته باشد 2)شرکت فروشنده کنترل هوشمند اتاق سرور باید حداقل رزومه کارکرد بیش از 100 محل مربوط به سیستمهای هوشمند را در سابقه کارکرد خود داشته باشد 3)شرکت مجری هوشمند سازی اتاق سرور باید خودش راسا اقدام به نصب و را اندازی تجهیزات کند و آن را به شرکت دیگری واگذار ننماید 4)شرکت مجری هوشمند سازی و سازنده دیتالاگر دمای اتاق سرور باید خدمات بعد از فروش و گارانتی را خود به عهده بگیرد 5)شرکت سازنده سیستم مانیتورینگ دمای اتاق سرور بایستی تمامی تجهیزاتی را که در یک سیستم مانیتورینگ بکار میگیرد اعم از پردازنده ها –سنسورها – اینترفیس ها 6-شرکت سازنده سیستم مانیتورینگ اتاق سرور در سوابق قبلی خود نباید سابقه سوء از خود بجای گذاشته باشد همه موارد فوق با استفاده از صحبتهایی که شخص فروشنده مطرح میکند قابل استناد است اگر اینگونه نشود یایستی آنقدر جلسات فنی برگذار شود تا این موارد همه به جواب درستی برسند در غیر اینصورت باید منتظر پبامد انتخاب بد محصول گزینش شده یاشیم برای اطلاعات بیشنر میتوانید به لینک زیر سر بزنید رزومه و پروژه های اجرایی عکس پروژ ه ها برگرفته از وبسایت پیشران صنعت ویرا,https://www.jooyeshgar.com/product/det-467785
